Time, Ambient, Target, Weight
879, 43.73, 77.27, 1319722.00
880, 43.75, 77.37, 1319592.00
880, 43.75, 77.53, 1319563.00
881, 43.75, 77.53, 1319622.00
882, 43.79, 77.55, 1319551.00
883, 43.83, 77.43, 1319617.00
884, 43.81, 77.43, 1319639.00
885, 43.85, 77.43, 1319641.00
885, 43.83, 77.53, 1319680.00
886, 43.87, 77.51, 1319660.00
887, 43.91, 77.45, 1319500.00
888, 43.91, 77.37, 1319569.00
889, 43.91, 77.37, 1319588.00
890, 43.95, 77.45, 1319589.00
890, 43.95, 77.35, 1319566.00
891, 43.93, 77.33, 1319506.00
892, 43.95, 77.47, 1319579.00
893, 43.97, 77.59, 1319530.00
894, 43.97, 77.63, 1319599.00
895, 44.01, 77.51, 1319566.00
895, 44.03, 77.73, 1319503.00
896, 44.03, 77.85, 1319462.00
897, 44.07, 77.85, 1319492.00
898, 44.15, 77.99, 1319401.00
899, 44.09, 77.57, 1319435.00
900, 44.15, 77.35, 1319447.00
900, 44.13, 77.21, 1319389.00
901, 44.17, 77.27, 1319493.00
902, 44.17, 77.29, 1319422.00
903, 44.15, 77.27, 1319394.00
904, 44.15, 77.25, 1319479.00
905, 44.15, 77.27, 1319358.00
905, 44.19, 77.25, 1319417.00
906, 44.19, 77.19, 1319445.00
907, 44.17, 77.05, 1319449.00
908, 44.17, 77.09, 1319304.00
909, 44.17, 77.05, 1319346.00
910, 44.17, 77.09, 1319297.00
910, 44.17, 77.13, 1319405.00
911, 44.19, 77.21, 1319362.00
912, 44.17, 77.21, 1319302.00
913, 44.19, 77.13, 1319256.00
914, 44.19, 77.19, 1319380.00
915, 44.19, 77.15, 1319320.00
916, 44.23, 77.29, 1319328.00
916, 44.23, 77.33, 1319326.00
917, 44.23, 77.45, 1319293.00
918, 44.25, 77.67, 1319390.00
919, 44.29, 77.61, 1319289.00
920, 44.27, 77.57, 1319190.00
921, 44.27, 77.57, 1319322.00
921, 44.31, 77.47, 1319257.00
922, 44.31, 77.43, 1319196.00
923, 44.29, 77.59, 1319295.00
924, 44.37, 77.83, 1319302.00
925, 44.37, 77.57, 1319138.00
926, 44.35, 77.57, 1319188.00
926, 44.37, 77.69, 1319201.00
927, 44.39, 77.61, 1319126.00
928, 44.39, 77.75, 1319255.00
929, 44.41, 77.89, 1319179.00
930, 44.39, 77.91, 1319137.00
931, 44.41, 77.85, 1319181.00
931, 44.41, 77.77, 1319144.00
932, 44.45, 77.89, 1319279.00
933, 44.47, 77.81, 1319176.00
934, 44.47, 77.79, 1319061.00
935, 44.47, 77.71, 1319201.00
936, 44.53, 78.29, 1319073.00
936, 44.49, 78.13, 1319173.00
937, 44.53, 78.39, 1319054.00
938, 44.57, 78.53, 1319194.00
939, 44.57, 78.35, 1319003.00
940, 44.59, 78.37, 1319097.00
941, 44.61, 78.49, 1319019.00
941, 44.63, 78.27, 1319110.00
942, 44.63, 78.35, 1319018.00
943, 44.63, 78.27, 1319113.00
944, 44.69, 78.33, 1319049.00
945, 44.69, 78.51, 1319095.00
946, 44.71, 78.33, 1316525.00
946, 44.73, 77.55, 1252001.00
947, 44.75, 90.13, 894539.00
948, 44.69, 79.47, 940947.00
949, 44.59, 78.67, 940414.00
950, 44.47, 78.45, 940437.00
951, 44.37, 78.27, 940440.00
951, 44.19, 78.15, 940486.00
952, 44.13, 78.05, 940439.00
953, 43.97, 77.93, 940435.00
954, 43.87, 77.79, 940454.00
955, 43.75, 77.61, 940410.00
956, 43.69, 77.67, 940445.00
956, 43.59, 77.71, 940385.00
957, 43.49, 77.91, 940512.00
958, 43.43, 80.07, 940417.00
959, 43.33, 80.63, 985627.00
960, 43.27, 75.67, 1150949.00
961, 43.29, 78.85, 1242357.00
961, 43.41, 79.27, 1241698.00
962, 43.53, 79.73, 1242539.00
963, 43.65, 79.51, 1242155.00
964, 43.75, 79.57, 1242980.00
965, 43.91, 79.79, 1242442.00
966, 44.01, 79.63, 1242652.00
966, 44.13, 79.53, 1242134.00
967, 44.19, 79.47, 1242764.00
968, 44.31, 79.35, 1242334.00
969, 44.41, 79.51, 1242689.00
970, 44.45, 79.59, 1242602.00
971, 44.61, 79.81, 1242610.00
972, 44.67, 79.29, 1242342.00
972, 44.73, 79.23, 1241869.00
973, 44.79, 78.81, 1242504.00
974, 44.83, 78.91, 1242474.00
975, 44.89, 79.63, 1242657.00
976, 45.01, 78.99, 1242572.00
977, 45.07, 79.29, 1242567.00
977, 45.17, 79.73, 1242456.00
978, 45.25, 79.59, 1242619.00
979, 45.35, 79.83, 1242477.00
980, 45.39, 79.65, 1242509.00
981, 45.49, 80.81, 1048969.00
982, 45.51, 79.63, 912833.00
982, 45.45, 75.91, 939801.00
983, 45.33, 75.25, 940231.00
984, 45.19, 74.79, 940023.00
985, 45.07, 74.65, 940125.00
986, 44.93, 74.67, 940053.00
987, 44.83, 74.53, 940188.00
987, 44.69, 74.55, 940206.00
988, 44.61, 74.45, 939997.00
989, 44.51, 74.47, 940122.00
990, 44.41, 74.99, 940142.00
991, 44.31, 74.53, 940027.00
992, 44.19, 73.93, 940188.00
992, 44.13, 73.95, 940185.00
993, 44.01, 73.85, 940065.00
994, 43.93, 73.85, 940013.00
995, 43.79, 73.71, 940137.00
996, 43.73, 73.55, 940127.00
997, 43.63, 73.45, 940213.00
997, 43.51, 73.35, 940145.00
998, 43.43, 73.35, 940190.00
999, 43.33, 73.17, 940044.00
1000, 43.25, 73.27, 940184.00
1001, 43.17, 76.53, 936381.00
1002, 43.07, 73.53, 996238.00
